Medium,Occurences
etching,40688
silver,36664
silk,35491
color,34490
ink,33993
lithograph,33909
paper,33791
print,30906
engraving,28729
commercial,27918
terracotta,24130
glass,22236
wood,20422
gold,19850
albumen,19244
negative,13409
pen,13361
metal,12798
graphite,12438
cotton,12366
bronze,12197
copper,12123
watercolor,11510
gelatin,10791
porcelain,10478
photograph,10387
wool,9891
linen,8329
white,7878
photolithograph,7764
second,7715
steel,7417
paint,7262
wash,7099
earthenware,6999
illustrations,6956
chalk,6936
woodcut,6912
gilt,6899
colored,6849
faience,6831
leather,6724
alloy,6653
film,6037
hand,6033
painted,5952
thread,5947
iron,5848
glazed,5760
gouache,5731
printed,5617
ivory,5572
polychrome,5563
oil,5475
over,5474
woodblock,5466
paste,5292
blue,4979
glaze,4973
canvas,4895
brass,4892
first,4750
red,4652
brush,4602
limestone,4559
three,4528
pottery,4374
lace,4334
weave,4292
gray,4133
wove,3870
stone,3611
enamel,3609
ceramic,3583
aquatint,3508
drypoint,3343
carved,3333
ware,3248
hard,2981
metallic,2888
lithography,2845
green,2844
third,2674
clay,2640
steatite,2586
lacquer,2523
bobbin,2472
photomechanical,2381
soft,2348
prints,2328
process,2327
synthetic,2318
tin,2284
opaque,2214
marble,2212
under,2209
four,2183
gilded,2141
decoration,2066
pigment,2057
salted,2032
stucco,1978
bone,1942
medium,1931
traces,1889
shakudÂç,1807
slip,1736
lieure,1728
lead,1711
available,1702
transparent,1696
stoneware,1663
gum,1629
blown,1626
tapestry,1620
laid,1619
relief,1607
hanging,1587
mounted,1583
book,1574
delteil,1574
plain,1559
scroll,1511
incised,1493
bocher,1488
fiber,1439
arabic,1419
dark,1417
enamels,1405
leaf,1402
pearl,1398
yellow,1369
embroidered,1353
shibuichi,1332
plastic,1328
letterpress,1327
stonepaste,1316
tempera,1314
charcoal,1312
compound,1310
only,1284
underglaze,1278
alabaster,1271
platinum,1269
needle,1263
carnelian,1251
ground,1244
crayon,1242
jade,1242
applied,1234
proof,1213
oak,1198
shell,1192
chromogenic,1177
mezzotint,1163
pressed,1142
mother,1137
walnut,1137
framing,1132
hollstein,1125
cast,1095
album,1089
light,1079
hair,1070
stipple,1065
aud,1063
pr„,1063
transfer,1063
feathers,1062
pencil,1056
grey,1053
mahogany,1040
egyptian,1006
inlaid,1000
coloring,980
plate,977
covered,971
beads,970
textile,960
pine,958
lines,952
colorless,944
travertine,920
nephrite,904
engraved,903
armelhault,897
overglaze,888
five,885
pewter,885
silhouette,883
decorated,879
fourth,864
tracing,851
binding,846
horn,844
mud,834
chine,819
plates,818
heightened,817
molded,815
point,815
new,809
left,800
wrapped,798
palm,796
tape,785
velvet,780
flint,778
straw,777
bamboo,766
verso,752
camelid,744
coll„,743
plaster,743
wire,735
fur,716
pile,701
surimono,688
board,685
weft,681
edge,666
crystal,663
various,662
line,654
agate,650
satin,645
adhered,641
skin,640
turquoise,629
rayon,626
card,622
type,620
pochoir,617
inlay,616
photogravure,610
cardboard,605
pink,590
engravings,589
newsprint,586
maple,585
parchment,578
warp,576
pastel,569
cloth,559
six,555
cream,543
tint,543
gilding,542
recto,540
photo,535
wax,535
partly,534
some,533
per,530
perforated,529
ebony,524
hammered,508
india,508
instant,508
lithographs,508
drawing,504
colors,503
chalcedony,501
base,500
poplar,500
daguerreotype,498
luster,489
tone,487
unfired,487
sheet,486
woven,477
highlighted,471
inscription,471
nylon,471
embossed,470
stained,469
rock,467
jasper,466
blocks,465
patina,465
drawings,462
screenprint,462
enameled,457
maiolica,451
fan,446
video,445
folding,442
unglazed,441
tan,440
acrylic,439
linocut,438
sago,434
buff,433
nashiji,432
vitreous,432
materials,431
design,427
dye,426
triptych,423
coral,422
interior,421
before,415
foil,415
chiaroscuro,414
embroidery,411
brocaded,408
inch,407
lapis,406
underdrawing,406
felt,405
free,405
pot,404
fragment,400
pearls,397
original,395
jadeite,394
stones,393
zinc,387
hematite,386
lazuli,386
net,382
amber,379
quartz,378
lacquered,376
touches,376
pasted,374
edition,373
gesso,372
impression,370
woodcuts,369
papyrus,367
ash,366
fundame,364
dyed,362
polychromed,361
down,360
jingdezhen,357
frame,356
beige,355
handscroll,354
struck,353
inkjet,350
body,347
machine,346
tortoiseshell,346
cord,345
arita,344
transferred,344
one,343
crackled,342
amethyst,341
mounts,338
silvered,334
knotted,332
fifth,331
construction,330
rhinestones,330
modern,328
hizen,326
overlay,322
artist,320
lithographic,320
panel,320
lacy,319
ruled,319
collotype,318
etchings,318
champlev„,317
cloisonn„,316
heavy,316
salt,313
pale,312
hide,311
vellum,311
cobalt,310
cameo,308
thin,306
set,304
mixed,301
diamonds,300
sandstone,299
stain,298
leaves,295
synthetics,295
cane,294
schneiderman,293
harrington,290
orange,290
pattern,290
squared,287
states,287
parcel,286
rosewood,285
possibly,283
digital,282
probably,282
silkscreen,279
purple,278
through,277
cyanotype,276
punto,272
hiramakie,270
block,269
plated,269
polychromy,269
glazes,268
offset,267
chromolithography,266
glasgow,266
blackwork,265
fabric,265
leadpoint,265
polyester,263
boxwood,262
cupreous,262
stopper,262
indurated,261
nickel,261
parian,261
raffia,261
spathe,261
channel,256
stock,256
crochet,253
half,252
drawnwork,251
trim,251
palladium,248
aluminum,247
case,247
final,247
resist,246
die,244
garnet,243
mosaic,242
seven,239
warps,239
sound,238
colour,235
gourd,235
printing,235
tooled,234
bound,233
burin,232
carbon,232
rubber,231
veneer,230
baked,229
reproduction,229
intaglio,227
china,226
open,225
mount,224
celadon,223
kyoto,223
copy,222
greenish,222
roiro,222
washes,221
work,219
rose,218
mottled,212
string,212
wrought,212
mortar,210
shells,210
niello,209
tinted,209
reddish,207
chased,206
chromolithograph,206
roulette,206
illustration,205
wooden,205
clear,204
media,203
imari,202
linoleum,202
top,198
sheets,197
papers,195
reproducing,194
cover,192
etched,192
part,192
famille,191
varnish,191
feather,190
published,190
resin,190
cherry,188
head,187
letters,187
monochrome,186
vesme,185
drawn,184
onyx,184
reed,183
basalt,182
reverse,182
wickert,182
petitjean,181
satsuma,181
collage,180
page,180
blend,179
eight,179
natural,179
tintype,179
washed,179
mold,178
books,177
slipped,177
pigments,176
hemp,175
japan,175
back,174
burnished,174
cutwork,174
roll,173
trial,173
bartsch,172
damask,172
horsehair,172
veneered,171
border,169
compass,169
partially,169
rubies,169
sard,169
outlines,168
photographic,168
bleach,167
gypsum,167
hiramaki,167
maki,167
masonite,167
reproductions,167
seeds,167
text,167
brownish,166
monotype,166
angleterre,165
d‚Äôalen„,164
min,163
chicago,162
fine,162
fire,162
negatives,162
netsuke,161
stamped,161
jet,160
painting,160
quartzite,160
seto,160
made,159
symmetrically,159
beech,158
spruce,157
style,157
sequins,156
serpentine,156
biscuit,155
cedar,155
method,155
stainless,155
tissue,155
cabinet,154
carnelians,154
ojime,154
composition,153
openwork,153
upper,153
favrile,151
hind,151
manner,151
not,150
schist,150
prepared,149
screen,149
hirado,147
jasperware,147
lined,147
verre,147
diamond,146
fibers,145
twill,145
garnets,143
right,143
other,141
later,140
rattan,140
sheffield,140
sixth,140
asymmetrically,139
tulip,139
alum,138
fired,138
loop,137
scraps,137
woods,137
table,136
bichromate,135
remains,135
attached,134
watermark,134
chlorite,133
cont„,132
sardonyx,132
coated,131
elastic,131
filigree,131
precious,131
wefts,131
faint,130
splashed,130
pierced,129
portfolio,129
sony,129
takamakie,129
movement,128
perforations,128
heightening,127
sepia,127
cowrie,126
illustrated,126
obsidian,126
pair,126
bottom,125
commerical,125
olive,125
translucent,125
upholstery,125
serpentinite,124
double,123
figure,123
fresco,123
powder,123
leaded,122
satinwood,122
volume,122
bead,121
lift,120
moldings,120
beryl,119
sam„,119
material,118
core,117
diorite,117
japanese,117
mirror,117
mostly,116
nine,116
distemper,115
pencils,115
pontil,115
suede,115
backed,114
transparency,114
animal,113
iii,113
limbs,113
neutral,113
ruling,113
sgraffito,113
banded,112
bark,112
out,112
threads,112
background,111
polished,111
slate,111
lampas,110
lime,110
tow,110
ebonized,109
lower,109
counterproof,108
inks,108
nabeshima,108
papier,108
ribbon,108
electrum,107
foundation,107
photogravures,107
undescribed,107
ten,106
after,105
serigraph,105
opalescent,104
side,104
birch,103
grayish,103
jewels,103
scrolls,103
semi,103
tinned,103
grained,102
teak,102
walrus,102
decorative,101
outline,101
weight,101
worked,101
scrap,100
sketch,100
additions,99
cassowary,99
handmade,99
sprinkled,99
tulipwood,99
emerald,98
pages,98
rammendo,98
sentoku,98
title,98
emeralds,97
facsimile,97
kesi,97
slightly,97
edges,96
glossy,96
plant,96
stylus,96
stumping,95
aria,94
granite,94
holly,94
inlays,94
punched,94
togidashi,94
acetate,93
brocade,93
cellulose,93
greywacke,93
seventh,93
waxed,93
coconut,92
low,92
softground,92
ambrotype,91
dial,91
early,91
fabrics,91
issue,91
last,91
porcelaneous,91
apple,90
cabochon,90
lurex,90
nails,90
photorelief,90
ruby,90
supplementary,90
support,90
touched,90
barkcloth,89
boards,89
faded,89
lustered,89
very,89
box,88
buratto,88
delftware,88
eyes,88
flecked,88
inscribed,88
kiyomizu,88
kutani,88
sugar,88
verte,88
vertical,88
bertarelli,87
camwood,87
framed,87
mica,87
rayskin,87
beechwood,86
cranberry,86
feldspar,86
plywood,86
raku,86
scraping,86
stumped,86
technique,86
imitation,85
lavis,85
paperboard,85
pin,84
takamaki,84
bordered,83
diptych,83
originally,83
photoreproductions,83
stitches,83
calabi,82
electrotype,82
folio,82
limewood,82
non,82
nonlead,82
samples,82
voided,82
chains,81
designs,81
chrome,80
human,80
marker,80
pasteboard,80
patterned,80
twelve,80
added,79
created,79
mac,79
mina,79
panels,79
petiole,79
photobook,79
water,79
burnishing,78
flowers,78
lining,78
paintings,78
screens,78
direct,77
flawed,77
gauze,77
staghorn,77
surface,77
bite,76
elephant,76
foot,76
key,76
patterning,76
restrike,76
togidashimaki,76
yellowish,76
between,75
glomis„,75
gut,75
takatori,75
adhesive,74
high,74
motto,74
outlined,74
stencil,74
varnished,74
bizen,73
reinforced,73
baxter,72
lustreware,72
rope,72
soapstone,72
unmounted,72
woodburytype,72
all,71
calcite,71
creamware,71
glued,71
bodycolor,70
fruitwood,70
hollow,70
photographs,70
redware,70
tortoise,70
gaze,69
horizontal,69
layers,69
sides,69
thick,69
van,69
whatman,69
along,68
indigo,68
inside,68
native,68
tanned,68
torn,68
burnisher,67
chert,67
couching,67
fragments,67
jun,67
letter,67
pentelic,67
rhinestone,67
secondary,67
small,67
details,66
floral,66
gelder,66
granulation,66
lizard,66
onto,66
stand,66
sycamore,66
bluish,65
bristol,65
gall,65
nitrate,65
ochre,65
rim,65
sinew,65
sumak,65
cizhou,64
faced,64
joined,64
mohair,64
navy,64
poup„,64
ray,64
bells,63
impressed,63
patinated,63
reproductive,63
strings,63
volumes,63
cashmere,62
porphyry,62
antler,61
borders,61
mordant,61
repouss„,61
seed,61
spatter,61
sterling,61
thumbprint,61
a‚Äìc,60
bast,60
bole,60
oxidized,60
abalone,59
blanquart,59
center,59
cow,59
grass,59
gros,59
kinji,59
marquetry,59
„âvrard,58
granodiorite,58
matt,58
mino,58
robison,58
whitish,58
yarn,58
cancelled,57
chestnut,57
figures,57
kakiemon,57
partial,57
pearwood,57
press,57
wings,57
application,56
aquamarine,56
baleen,56
blued,56
century,56
clich„,56
coloured,56
highlights,56
indicated,56
milanese,56
polyurethane,56
cork,55
garments,55
mat,55
pendants,55
sapphires,55
turned,55
3600,54
frontispiece,54
handle,54
knotting,54
lusterware,54
shaped,54
snakeskin,54
vegetable,54
deal,53
tent,53
bromoil,52
brussels,52
manuscript,52
poster,52
sacrificial,52
sanguine,52
shades,52
around,51
cases,51
finely,51
folded,51
hippopotamus,51
latten,51
lucite,51
mach„,51
sand,51
stonecut,51
twine,51
awata,50
bosse,50
cabochons,50
carborundum,50
crepe,50
organic,50
vinyl,50
warm,50
bitumen,49
chinese,49
fittings,49
lycra,49
stippled,49
undyed,49
artificial,48
ch„,48
chiffon,48
contours,48
front,48
has,48
modeled,48
pieces,48
posthumous,48
sapphire,48
twisted,48
violet,48
ding,47
malachite,47
ocher,47
oribe,47
raden,47
spandex,47
whalebone,47
eighth,46
eleven,46
embossing,46
greenstone,46
lavender,46
longquan,46
matte,46
peach,46
peachbloom,46
raised,46
are,45
bird,45
carrara,45
dyes,45
finberg,45
ikat,45
inglaze,45
jute,45
marine,45
oval,45
strip,45
sulphur,45
zwischengold,45
aogai,44
beading,44
cellocut,44
chenille,44
containing,44
egg,44
emulsion,44
fresson,44
golden,44
linden,44
medallion,44
oxide,44
sketchbook,44
sketches,44
stitch,44
strips,44
turtle,44
watercolors,44
appliqu„,43
ballpoint,43
catalogue,43
dry,43
each,43
kirigane,43
scraper,43
shagreen,43
shellac,43
stamp,43
lithotint,42
splashes,42
deep,41
little,41
muslin,41
plasma,41
sandpaper,41
topaz,41
tourmaline,41
accordion,40
argentan,40
autochrome,40
burl,40
cross,40
handcolored,40
inset,40
rice,40
sancai,40
scratching,40
semiprecious,40
shape,40
slide,40
strike,40
veined,40
basse,39
composite,39
halftone,39
kingwood,39
photography,39
quill,39
reworked,39
roller,39
rousselet,39
rubbed,39
scale,39
scraped,39
variegated,39
anhydrite,38
centering,38
chain,38
knot,38
laminated,38
lantern,38
mannocci,38
metalpoint,38
ornament,38
periodical,38
pins,38
sycomore,38
taille,38
trimming,38
collodion,37
faux,37
flax,37
karatsu,37
knitted,37
large,37
newspaper,37
pauli,37
rinzu,37
rotogravure,37
short,37
slight,37
spangles,37
streaked,37
tacks,37
trailed,37
amaranth,36
fringe,36
kaolin,36
piece,36
root,36
solid,36
split,36
terre,36
texture,36
backing,35
backings,35
both,35
cement,35
coarse,35
dip,35
goat,35
graph,35
keys,35
knots,35
lid,35
margins,35
numbering,35
ostrich,35
post,35
powdered,35
seat,35
section,35
yarns,35
been,34
beeswax,34
burnt,34
chromolithographed,34
cohen,34
eye,34
island,34
jian,34
multi,34
nacre,34
nut,34
overlays,34
pear,34
processes,34
ramie,34
rawhide,34
silks,34
spinach,34
trade,34
antique,33
blood,33
drilled,33
gonse,33
gritty,33
parts,33
pricked,33
ring,33
teeth,33
toned,33
viscose,33
within,33
zincograph,33
chalks,32
chaumont,32
dull,32
enka,32
filled,32
gyobu,32
image,32
legs,32
nicolo,32
now,32
skull,32
spun,32
together,32
turkey,32
aegyptiaca,31
balanites,31
basketry,31
bistre,31
caning,31
cartonnage,31
claw,31
darkened,31
dust,31
exterior,31
finished,31
matted,31
mercury,31
metalcut,31
photocopy,31
plaques,31
soot,31
splash,31
which,31
window,31
cellophane,30
decorations,30
eggshell,30
marbled,30
purplish,30
screenprints,30
shark,30
slips,30
smooth,30
stripes,30
andesite,29
antimony,29
bloom,29
breccia,29
bright,29
cinnabar,29
fabricated,29
form,29
gabbro,29
glue,29
handles,29
including,29
inner,29
into,29
robert,29
shakud‚çÂç,29
trimmed,29
wallpaper,29
blackened,28
bll,28
buffalo,28
casein,28
crackle,28
detached,28
flat,28
gems,28
grain,28
horse,28
mill,28
minidv,28
monel,28
negoro,28
old,28
orihon,28
panasonic,28
pigmented,28
qingbai,28
reissue,28
sections,28
shot,28
spots,28
stem,28
tecalli,28
tib,28
tinge,28
watercolour,28
willow,28
1905,27
1922,27
braided,27
cardstock,27
celluloid,27
corners,27
donkey,27
dumesnil,27
face,27
few,27
foam,27
handed,27
heliotrope,27
lightly,27
like,27
lin,27
long,27
miniature,27
paris,27
pendant,27
pineapple,27
purplewood,27
str„,27
this,27
unidentified,27
woodburytypes,27
against,26
applique,26
aquatints,26
avorio,26
bakelite,26
beat,26
braid,26
buttons,26
circular,26
covers,26
cypress,26
dyeing,26
encaustic,26
end,26
iridescent,26
kent,26
metals,26
moss,26
outside,26
privately,26
reproduced,26
sage,26
same,26
shigaraki,26
slipware,26
spit,26
tiny,26
vetro,26
wrapping,26
band,25
beaded,25
dershau,25
elm,25
fiberglass,25
gessoed,25
hirame,25
israel,25
maquette,25
milky,25
outer,25
printer,25
remnants,25
rhinoceros,25
shoulder,25
silvestre,25
squaring,25
threaded,25
tridacna,25
worn,25
almost,24
asa,24
bell,24
birchbark,24
burlap,24
called,24
copperplate,24
corrections,24
cuir,24
darker,24
dehua,24
enamelled,24
fruit,24
goatskin,24
hands,24
itogiri,24
kemha,24
makie,24
matrix,24
mercerized,24
moulded,24
neck,24
pebbles,24
photoengraving,24
plexiglas,24
pulp,24
quills,24
retouched,24
rich,24
satin„,24
silverplate,24
tail,24
tassels,24
terra,24
tinsel,24
turquoises,24
urushi,24
visible,24
working,24
18k,23
alloys,23
areas,23
bouilli,23
brushed,23
calligraphy,23
cotta,23
couched,23
deer,23
domed,23
embellishments,23
hardwood,23
heliogravure,23
initials,23
lighter,23
macassar,23
macrame,23
mounting,23
mulberry,23
patches,23
proto,23
spanish,23
spring,23
stamping,23
tela,23
trace,23
twenty,23
vegetal,23
whale,23
wheel,23
Âçban,22
alkyd,22
amethysts,22
bands,22
below,22
blueing,22
facing,22
fastener,22
handspun,22
hazard,22
holl,22
imitating,22
kid,22
number,22
opal,22
photostat,22
quilted,22
rod,22
round,22
rust,22
scalloped,22
suite,22
toggle,22
variant,22
blade,21
crewel,21
crystalline,21
disc,21
elements,21
envelope,21
extra,21
finish,21
fish,21
lindenwood,21
lithographed,21
mummification,21
ninth,21
pig,21
ply,21
reprint,21
reserve,21
selectively,21
1921,20
acacia,20
approx,20
aubusson,20
buttonhole,20
ceramics,20
coins,20
cowries,20
cribl„,20
curly,20
fudge,20
gemstones,20
grisaille,20
imbe,20
lampworked,20
middle,20
mineral,20
pedestal,20
photoscreenprint,20
polymer,20
proofs,20
reticello,20
retorti,20
samite,20
separate,20
sharkskin,20
shino,20
silent,20
straight,20
substrate,20
sweet,20
terminals,20
textured,20
version,20
wicker,20
2nd,19
arched,19
basswood,19
bloodstone,19
booklet,19
bromberg,19
bust,19
centimeter,19
chirimen,19
chromolithographic,19
cocuswood,19
cold,19
crimson,19
cupro,19
discolored,19
european,19
feet,19
grenadilla,19
highlighting,19
indian,19
interlocking,19
jwhatman,19
known,19
linocuts,19
looped,19
lost,19
matic,19
mechanical,19
mimeograph,19
moldmade,19
mylar,19
nile,19
pinkish,19
pitted,19
preliminary,19
publication,19
satins,19
series,19
sheepskin,19
showing,19
smoky,19
socle,19
stains,19
that,19
tile,19
tooth,19
uncut,19
upholstered,19
wadding,19
yue,19
112,18
another,18
applewood,18
aubergine,18
bidri,18
cuts,18
deerskin,18
different,18
dried,18
fax,18
french,18
guangdong,18
harewood,18
jeweled,18
keppel,18
koke,18
landau,18
late,18
layer,18
needlework,18
paillettes,18
pelet,18
phyllitic,18
pith,18
plaque,18
portrait,18
province,18
removed,18
replacement,18
reptile,18
restored,18
reticulated,18
ruler,18
shapiro,18
signed,18
spatterware,18
streaks,18
studs,18
abaca,17
affixed,17
banko,17
blanc,17
commercially,17
coniferous,17
constructed,17
crown,17
cutout,17
cylindrical,17
disk,17
dutch,17
electroformed,17
encrustation,17
fans,17
floss,17
full,17
furnace,17
greyish,17
hardground,17
hinges,17
jizhou,17
lock,17
majolica,17
margin,17
marks,17
marl,17
martin,17
marvered,17
mathews,17
monoprint,17
morocco,17
mottling,17
nassa,17
netherlandish,17
overlaid,17
pentaptych,17
photomechanically,17
pvc,17
scorper,17
scratched,17
seal,17
shikisi,17
sixteen,17
snake,17
spherical,17
stamps,17
stick,17
study,17
tabby,17
unbaked,17
vernis,17
18th,16
‚Äúpear,16
addition,16
angora,16
arches,16
baroque,16
blueprint,16
carbro,16
corrected,16
ears,16
ebonite,16
electroplated,16
epoxy,16
formerly,16
fourteen,16
gem,16
laminate,16
lettering,16
macram„,16
magna,16
man,16
marked,16
markings,16
mauve,16
medallions,16
missing,16
oblong,16
pamphlet,16
peacock,16
peking,16
photochrom,16
pi„,16
pigskin,16
plaited,16
plastered,16
plat,16
porcupine,16
rag,16
ram,16
redrawn,16
rivets,16
running,16
sandalwood,16
shippÂç,16
simulated,16
sugarlift,16
tablet,16
tea,16
teakwood,16
whitewash,16
aventurine,15
based,15
basket,15
bois,15
bread,15
brilliant,15
cocus,15
crayons,15
cylinder,15
damascened,15
door,15
earth,15
escapement,15
fibrous,15
float,15
frames,15
frieze,15
gobelin,15
kajoe,15
kincob,15
knit,15
larger,15
lip,15
mache,15
marbleized,15
mink,15
nail,15
nautilus,15
numbered,15
plinth,15
poem,15
polyamide,15
rectangular,15
spray,15
swatch,15
syenite,15
tesserae,15
tsuishu,15
unique,15
veneers,15
wall,15
wtih,15
19th,14
a‚Äìd,14
academy,14
accents,14
acetates,14
amboyna,14
antelope,14
architectural,14
archival,14
bowl,14
brick,14
central,14
collaged,14
colophon,14
conch,14
corner,14
cuerda,14
edging,14
facsimilie,14
handscrolls,14
have,14
heliotype,14
inserted,14
ivoroid,14
jacquard,14
loose,14
lotus,14
marcasite,14
membrane,14
milk,14
pashmina,14
perhaps,14
phototypes,14
pitch,14
rectangle,14
related,14
rings,14
rough,14
seca,14
sewn,14
sheath,14
shidoro,14
slit,14
stencils,14
taffeta,14
takahatake,14
tenth,14
thirty,14
traced,14
unknown,14
volcanic,14
yixing,14
150,13
alkaline,13
assembled,13
ball,13
bodycolour,13
brocatelle,13
button,13
calabash,13
carcass,13
chainmail,13
chiseled,13
chrysoprase,13
collotypes,13
concrete,13
craquel„,13
dappled,13
drip,13
drypoints,13
eglomise,13
electric,13
figured,13
fir,13
flamb„,13
flannel,13
flower,13
freehand,13
freshwater,13
halo,13
hickory,13
horns,13
irregular,13
kairakuen,13
liftground,13
link,13
litho,13
manufacture,13
mesh,13
mineralized,13
mirrors,13
mishima,13
moir„,13
onion,13
photolithographic,13
pieced,13
plum,13
primary,13
row,13
rush,13
seated,13
seventeen,13
silhouettes,13
speckled,13
stopping,13
studies,13
succi,13
talbierska,13
turban,13
unfinished,13
venting,13
1883,12
1st,12
albums,12
almandine,12
also,12
appliqued,12
artist‚Äôs,12
asplund,12
batik,12
brilliants,12
britannia,12
burr,12
camel,12
che,12
chrysanthemums,12
cloisonne,12
coat,12
coating,12
compo,12
conus,12
crocodile,12
crystaline,12
cuban,12
damaged,12
date,12
determined,12
dotted,12
drawer,12
edged,12
elastane,12
essence,12
factory,12
fold,12
format,12
formed,12
fridrich,12
gneiss,12
handpainted,12
handwoven,12
hardware,12
hilt,12
holes,12
inclusions,12
izumo,12
journal,12
kenzan,12
kurawanka,12
lajvardina,12
lamb,12
lightweight,12
links,12
liquid,12
loom,12
magazine,12
mark,12
meaume,12
meta,12
nature,12
northern,12
notations,12
notes,12
oatmeal,12
oilstick,12
ornaments,12
photochromes,12
planographic,12
positive,12
produce,12
rabbit,12
reduced,12
remounted,12
ribbons,12
rowlux,12
scribbles,12
sticks,12
stripe,12
sword,12
tab,12
tanba,12
tones,12
tree,12
tubular,12
16mm,11
abraded,11
abs,11
arms,11
bow,11
brocading,11
calfskin,11
cannot,11
cased,11
constructions,11
cottonwood,11
deltiel,11
derbyshire,11
des,11
duchesse,11
ermine,11
export,11
fiberboard,11
filet,11
fishskin,11
flashed,11
fossiliferous,11
fujian,11
gaudy,11
gemstone,11
ghiordes,11
gillotage,11
grasses,11
halfa,11
heads,11
honestone,11
hornblende,11
images,11
indented,11
kasuri,11
kirikane,11
laquer,11
laser,11
latex,11
locket,11
lunense,11
measuring,11
melamine,11
mottoes,11
objects,11
opals,11
ornamented,11
palisander,11
photographically,11
photolithography,11
pincered,11
plan,11
portion,11
pulpboard,11
pyrite,11
ragusa,11
region,11
remnant,11
rieger,11
rubbing,11
scales,11
shading,11
silhouetted,11
spar,11
spitbite,11
square,11
stag,11
stenciled,11
stiff,11
stippling,11
strainer,11
stringing,11
sumie,11
taquet„,11
textiles,11
throughout,11
tools,11
treated,11
tusks,11
valenciennes,11
veins,11
vol,11
welded,11
1885,10
additional,10
address,10
agateware,10
aluminium,10
arch,10
attachment,10
bag,10
baudicour,10
begemann,10
bezel,10
bitten,10
boxes,10
buncheong,10
burned,10
butterflies,10
calf,10
chambered,10
chromolithographs,10
clouds,10
collar,10
colouring,10
connecting,10
contains,10
continuous,10
crystals,10
dalbergia,10
detail,10
dragon,10
drawers,10
embossment,10
estron,10
ficus,10
filaments,10
flecks,10
fleur,10
floats,10
forged,10
france,10
fritware,10
gritstone,10
guan,10
guard,10
hexaptych,10
iga,10
intarsia,10
landscape,10
lapped,10
loops,10
mail,10
many,10
medal,10
metalic,10
mizoro,10
much,10
multicolored,10
multiple,10
netting,10
noire,10
octagonal,10
places,10
possible,10
postcard,10
punching,10
purl,10
python,10
reeds,10
replaced,10
ribs,10
sachet,10
see,10
several,10
shakudo,10
sheep,10
sided,10
spondylus,10
spotted,10
striated,10
stripped,10
sue,10
sur,10
talc,10
tar,10
techniques,10
thirteen,10
tiles,10
touch,10
tradecloth,10
triangular,10
uncolored,10
undecorated,10
varicolored,10
variety,10
was,10
without,10
xerox,10
yatsushiro,10
yew,10
zeze,10
